<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE.US,D,20060501,000000,23.2676,23.578,23.1105,23.2139,941937.70445729,0
DRE.US,D,20060502,000000,23.2139,23.2139,22.651,22.9006,1209935.8668622,0
DRE.US,D,20060503,000000,22.7703,23.2139,22.7464,23.1652,796838.13739746,0
DRE.US,D,20060504,000000,23.1562,23.6038,23.1562,23.4059,497816.72600233,0
DRE.US,D,20060505,000000,23.5859,23.8674,23.5362,23.6347,500706.21032025,0
DRE.US,D,20060508,000000,23.6347,23.7679,23.5292,23.7192,490511.57880193,0
DRE.US,D,20060509,000000,23.7132,23.9261,23.4715,23.757,551810.06831592,0
DRE.US,D,20060510,000000,23.4059,23.4059,23.013,23.1165,682766.84626646,0
DRE.US,D,20060511,000000,23.1781,23.2139,22.7037,22.8081,634702.27535953,0
DRE.US,D,20060512,000000,22.644,22.644,21.9657,22.3655,737066.83183577,0
DRE.US,D,20060515,000000,22.2889,22.8469,21.895,22.7624,674709.66904873,0
DRE.US,D,20060516,000000,22.828,22.9792,22.7464,22.7842,506788.80604863,0
DRE.US,D,20060517,000000,22.5575,22.7464,22.3277,22.5057,736305.75332893,0
DRE.US,D,20060518,000000,22.6709,22.9404,22.4679,22.5455,756685.96787605,0
