<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE.US,D,20050826,000000,20.2827,20.3633,20.046,20.053,719578.11238201,0
DRE.US,D,20050829,000000,19.9823,20.237,19.8491,20.0778,588313.68578802,0
DRE.US,D,20050830,000000,19.9286,20.3394,19.9167,20.3046,1030610.8909122,0
DRE.US,D,20050831,000000,20.3474,20.9004,20.3096,20.8636,1110310.9919331,0
DRE.US,D,20050901,000000,20.7452,21.2565,20.7164,20.8895,968253.72812514,0
DRE.US,D,20050902,000000,20.9352,21.158,20.8059,20.9491,929166.26420313,0
DRE.US,D,20050906,000000,20.9491,21.5777,20.9352,21.4882,2059857.4706833,0
DRE.US,D,20050907,000000,21.4136,21.4136,21.1312,21.2704,1064685.4916438,0
DRE.US,D,20050908,000000,21.0595,21.3022,21.0595,21.2237,1229860.6407705,0
DRE.US,D,20050909,000000,21.2147,21.3898,21.1312,21.3808,578582.53801032,0
DRE.US,D,20050912,000000,21.3152,21.4087,21.1968,21.3808,409443.1450891,0
DRE.US,D,20050913,000000,21.35,21.3937,21.1789,21.2426,675162.09352439,0
DRE.US,D,20050914,000000,21.35,21.3937,21.2426,21.2953,1162481.5663036,0
DRE.US,D,20050915,000000,21.3152,21.5529,21.2704,21.5459,547243.59727487,0
DRE.US,D,20050916,000000,21.5529,21.6513,21.35,21.5837,806573.30672605,0
DRE.US,D,20050919,000000,21.5071,21.5956,21.4256,21.4554,1079438.5511014,0
DRE.US,D,20050920,000000,21.4405,21.5628,21.2067,21.2147,982399.5333976,0
DRE.US,D,20050921,000000,21.158,21.1859,20.7771,20.8676,1173888.6954167,0
DRE.US,D,20050922,000000,20.8546,21.2764,20.4279,21.1242,918213.57034114,0
DRE.US,D,20050923,000000,21.0595,21.2286,20.9074,21.158,856005.20493721,0
DRE.US,D,20050926,000000,21.153,21.3808,21.1371,21.153,1242334.4862584,0
DRE.US,D,20050927,000000,21.0943,21.1043,20.8417,21.0784,1273967.0002092,0
DRE.US,D,20050928,000000,21.158,21.2624,20.8676,20.9979,729306.24399653,0
DRE.US,D,20050929,000000,20.968,21.3152,20.7084,21.3022,1186056.9030366,0
DRE.US,D,20050930,000000,21.3808,21.7041,21.3808,21.5917,1026509.9143872,0
DRE.US,D,20051003,000000,21.5917,21.8085,21.5917,21.7478,887336.10257087,0
DRE.US,D,20051004,000000,21.7996,21.7996,21.3082,21.3281,896010.58785095,0
DRE.US,D,20051005,000000,21.2853,21.3022,21.0068,21.0377,955935.71773437,0
DRE.US,D,20051006,000000,21.0317,21.0685,20.5602,20.9004,2456532.1916814,0
DRE.US,D,20051007,000000,20.8676,20.9919,20.5602,20.9004,848093.80893941,0
DRE.US,D,20051010,000000,20.8636,21.0068,20.7452,20.8059,1327052.4774083,0
DRE.US,D,20051011,000000,20.7452,20.8895,20.3931,20.3931,1804948.4510532,0
DRE.US,D,20051012,000000,20.2628,20.3822,19.8958,20.1007,1737717.1685817,0
DRE.US,D,20051013,000000,19.9754,20.2827,19.9495,19.9923,1582570.7619989,0
DRE.US,D,20051014,000000,20.1455,20.6438,20.1455,20.5861,1294657.879563,0
DRE.US,D,20051017,000000,20.5861,20.8676,20.5473,20.8636,1729959.5969056,0
DRE.US,D,20051018,000000,20.9531,20.979,20.7243,20.783,1496190.8649418,0
DRE.US,D,20051019,000000,20.783,21.0516,20.597,21.0456,974945.58881409,0
DRE.US,D,20051020,000000,20.9839,21.158,20.7084,20.7303,1493295.3482975,0
DRE.US,D,20051021,000000,20.7771,21.1789,20.7661,20.9919,1292219.814333,0
DRE.US,D,20051024,000000,21.0685,21.4663,21.0595,21.4594,1060273.8503122,0
DRE.US,D,20051025,000000,21.4594,21.7041,21.3549,21.4256,1303483.1730016,0
DRE.US,D,20051026,000000,21.2853,21.4136,21.0993,21.3549,852811.08813901,0
DRE.US,D,20051027,000000,21.3599,21.3748,21.0377,21.1093,657064.10911007,0
DRE.US,D,20051028,000000,21.2366,21.7419,21.2366,21.721,1585615.0760263,0
DRE.US,D,20051031,000000,21.7349,21.8543,21.6513,21.7279,1242490.3213556,0
DRE.US,D,20051101,000000,21.4733,21.7996,21.153,21.6036,1147274.0715949,0
DRE.US,D,20051102,000000,21.5837,21.6762,21.2764,21.6643,1075329.5314746,0
DRE.US,D,20051103,000000,21.8274,21.9547,21.6116,21.7478,766723.75890948,0
DRE.US,D,20051104,000000,21.7419,21.7478,21.4733,21.7349,588161.87224174,0
DRE.US,D,20051107,000000,21.8085,21.9607,21.6762,21.8741,574625.33192984,0
DRE.US,D,20051108,000000,21.716,21.8543,21.6573,21.7618,920496.80586167,0
DRE.US,D,20051109,000000,21.5002,22.0641,21.5002,21.8861,1841142.4091064,0
DRE.US,D,20051110,000000,21.7996,22.3864,21.7996,22.2889,1276857.4899149,0
DRE.US,D,20051111,000000,22.1894,22.3386,22.1626,22.2889,1025443.1980124,0
DRE.US,D,20051114,000000,22.1894,22.3217,21.9139,22.0243,974334.31307808,0
DRE.US,D,20051115,000000,22.1258,22.276,21.9398,22.1377,705733.92342666,0
DRE.US,D,20051116,000000,22.1377,22.2093,21.8274,21.8811,659495.13662598,0
